PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34035011","Tackling childhood obesity in the wake of covid-19: lessons from Chile","Patterson RR, Sornalingam S, Cooper M.","BMJ. 2021 May 25;373:n1338. doi: 10.1136/bmj.n1338.","Patterson RR","BMJ","2021","2021/05/26","","","10.1136/bmj.n1338"
"34020614","Family-based intervention to prevent childhood obesity among school-age children of low socioeconomic status: study protocol of the FIVALIN project","Homs C, Berruezo P, Según G, Estrada L, de Bont J, Riera-Romaní J, Carrillo-Álvarez E, Schröder H, Milà R, Gómez SF.","BMC Pediatr. 2021 May 21;21(1):246. doi: 10.1186/s12887-021-02697-x.","Homs C","BMC Pediatr","2021","2021/05/22","PMC8139065","","10.1186/s12887-021-02697-x"
"33975429","Effect of high-intensity interval training on cardiometabolic risk factors in childhood obesity: a meta-analysis","Zhu L, Liu J, Yu Y, Tian Z.","J Sports Med Phys Fitness. 2021 May;61(5):743-752. doi: 10.23736/S0022-4707.20.11329-X.","Zhu L","J Sports Med Phys Fitness","2021","2021/05/12","","","10.23736/S0022-4707.20.11329-X"
"33964905","Prognostic value of different maternal obesity phenotypes in predicting offspring obesity in a family-based cohort study","Jalali-Farahani S, Amiri P, Lashkari B, Cheraghi L, Hosseinpanah F, Azizi F.","BMC Public Health. 2021 May 8;21(1):885. doi: 10.1186/s12889-021-10932-4.","Jalali-Farahani S","BMC Public Health","2021","2021/05/09","PMC8106828","","10.1186/s12889-021-10932-4"
"33950919","Associations of childhood overweight and obesity with upper-extremity fracture characteristics","Nhan DT, Leet AI, Lee RJ.","Medicine (Baltimore). 2021 May 7;100(18):e25302. doi: 10.1097/MD.0000000000025302.","Nhan DT","Medicine (Baltimore)","2021","2021/05/05","PMC8104144","","10.1097/MD.0000000000025302"
"33947324","The relationship between socioeconomic status and childhood overweight/obesity is linked through paternal obesity and dietary intake: a cross-sectional study in Chongqing, China","Chen J, Luo S, Liang X, Luo Y, Li R.","Environ Health Prev Med. 2021 May 4;26(1):56. doi: 10.1186/s12199-021-00973-x.","Chen J","Environ Health Prev Med","2021","2021/05/05","PMC8097861","","10.1186/s12199-021-00973-x"
"33935177","Pediatric obesity and perioperative medicine","Mpody C, Owusu-Bediako K, Raman VT, Nafiu OO.","Curr Opin Anaesthesiol. 2021 Jun 1;34(3):299-305. doi: 10.1097/ACO.0000000000000991.","Mpody C","Curr Opin Anaesthesiol","2021","2021/05/03","","","10.1097/ACO.0000000000000991"
"33926412","Testing a multicomponent lifestyle intervention for combatting childhood obesity","Vlaev I, Taylor MJ, Taylor D, Gately P, Gunn LH, Abeles A, Kerkadi A, Lothian J, Jreige SK, Alsaadi A, Al-Kuwari MG, Ghuloum S, Al-Kuwari H, Darzi A, Ahmedna M.","BMC Public Health. 2021 Apr 29;21(1):824. doi: 10.1186/s12889-021-10838-1.","Vlaev I","BMC Public Health","2021","2021/04/30","PMC8082655","","10.1186/s12889-021-10838-1"
"33925298","Association between Compliance with Movement Behavior Guidelines and Obesity among Malaysian Preschoolers","Lee ST, Wong JE, Chan GKL, Poh BK.","Int J Environ Res Public Health. 2021 Apr 27;18(9):4611. doi: 10.3390/ijerph18094611.","Lee ST","Int J Environ Res Public Health","2021","2021/04/30","PMC8123584","","10.3390/ijerph18094611"
"33924728","Enabling Food Environment in Kindergartens and Schools in Iran for Promoting Healthy Diet: Is It on the Right Track?","Omidvar N, Babashahi M, Abdollahi Z, Al-Jawaldeh A.","Int J Environ Res Public Health. 2021 Apr 13;18(8):4114. doi: 10.3390/ijerph18084114.","Omidvar N","Int J Environ Res Public Health","2021","2021/04/30","PMC8070383","","10.3390/ijerph18084114"
"33923639","Breakfast: A Crucial Meal for Adolescents' Cognitive Performance According to Their Nutritional Status. The Cogni-Action Project","Peña-Jorquera H, Campos-Núñez V, Sadarangani KP, Ferrari G, Jorquera-Aguilera C, Cristi-Montero C.","Nutrients. 2021 Apr 16;13(4):1320. doi: 10.3390/nu13041320.","Peña-Jorquera H","Nutrients","2021","2021/04/30","PMC8073030","","10.3390/nu13041320"
"33923364","Brown Adipose Tissue: New Challenges for Prevention of Childhood Obesity. A Narrative Review","Verduci E, Calcaterra V, Di Profio E, Fiore G, Rey F, Magenes VC, Todisco CF, Carelli S, Zuccotti GV.","Nutrients. 2021 Apr 24;13(5):1450. doi: 10.3390/nu13051450.","Verduci E","Nutrients","2021","2021/04/30","PMC8145569","","10.3390/nu13051450"
"33920831","Healthy Lifestyle Intervention and Weight Loss Improve Cardiovascular Dysfunction in Children with Obesity","Genoni G, Menegon V, Monzani A, Archero F, Tagliaferri F, Mancioppi V, Peri C, Bellone S, Prodam F.","Nutrients. 2021 Apr 15;13(4):1301. doi: 10.3390/nu13041301.","Genoni G","Nutrients","2021","2021/04/30","PMC8071179","","10.3390/nu13041301"
